Job_name,Company,Region,Salary,Job_Category,Welfare,Edu_require,Experience,Require_num,Job_description
凤凰路…|幼儿老师,三亚市天涯区谱霖斯顿幼儿园,三亚,面议,幼教/早教,"包吃,包住,周末双休",大专,不限,招2人,岗位职责：1、负责本班级幼儿保教工作；2、做好与幼儿家长沟通工作；任职资格：1、专科及以上学历，心理学、幼儿教育等相关专业；2、具有2年以上幼教教学经验者优先考虑；3、具有一定的管理经验，亲和力强；4、熟悉儿童生活习性，了解儿童心理；5、具有一定的文艺表演能力，普通话标准，口齿伶俐；6、热爱教育事业，工作积极主动、责任心强。工作时间：7：30-18：00
吉阳|诚聘幼儿教师/蒙氏教师,三亚阳光贝贝幼儿园,三亚,面议,幼教/早教,"五险一金,包住,包吃,周末双休",不限,不限,招2人,任职资格：1、中专及以上学历，心理学、幼儿教育等相关专业；2、具有2年以上幼教教学经验者优先考虑；3、具有一定的管理经验，亲和力强；4、熟悉儿童生活习性，了解儿童心理；5、具有一定的文艺表演能力，普通话标准，口齿伶俐；6、热爱教育事业，工作积极主动、责任心强。
胜利路|英语老师,三亚红杉树智能英语教育咨询有限公司,三亚,面议,教师/助教,"包住,包吃",大专,不限,招2人,工作内容：1、大专及以上学历，师范类院校毕业；2、具有丰富的教学经验和一定的教学研究工作经验；3、熟练掌握办公软件和互联网的使用技巧；4、具备教育心理学知识，较强的授课能力；5、具有很强的中文表达能力，普通话标准，口齿伶俐；6、具有较强的亲和力，讲课生动活泼，知识面宽广；7、热爱教育事业，工作积极主动、责任心强。
凤凰路…|直聘幼儿教师,三亚市天涯区谱霖斯顿幼儿园,三亚,面议,教师/助教,"包吃,周末双休,包住",大专,1-2年,招3人,1、具有丰富的教学经验2、具备教育心理学知识，较强的授课能力；3、表达能力强，普通话标准，口齿伶俐；4、热爱教育事业，工作积极主动、责任心强；7、对孩子有耐心，有爱心。工作时间：周一至周五7:30-18:00
吉阳|出纳,三亚宫满西廷餐厅,三亚,5000-8000元/月,财务/审计/统计,"包住,包吃,加班补助",不限,不限,招1人,岗位职责：1、负责日常收支的管理和核对；2、办公室基本账务的核对；3、负责收集和审核原始凭证，保证报销手续及原始单据的合法性、准确性；4、负责登记现金、银行存款日记账并准确录入系统，按时编制银行存款余额调节表；5、负责记账凭证的编号、装订；保存、归档财务相关资料；6、负责开具各项票据；7、配合总会负责办公室财务管理统计汇总。任职资格：1、大学专科以上学历，会计学或财务管理专业毕业；2、具有1年以上出纳工作经验；3、熟悉操作财务软件、Excel、Word等办公软件；4、记账要求字迹清晰、准确、及时，账目日清月结，报表编制准确、及时；5、工作认真，态度端正；6、了解国家财经政策和会计、税务法规，熟悉银行结算业务。
亚龙湾|高薪招聘前台接待,三亚御黑堂茶饮店,三亚,2800-5000元/月,人事/行政/后勤,"求职保障,包住,包吃,年底双薪",不限,不限,招5人,工作内容：1、认真负责对客接待，办理入住、离店等前台手续2、做好交接班记录，针对客人需求登记好交接给下一班次3、熟知酒店房型信息，当天预抵及离店信息4、每天保持较佳工作状态，保持较佳形象、按酒店标准穿着打扮、礼仪接待5、与各部门保持良好沟通6、有相关工作经验者优先7、整体形象好的优先8、适应高强度工作者优先技能要求1、对办公室工作程序熟悉优先2、熟练使用Word、Excel等办公软件，会借助互联网查找资料3、具有良好的沟通能力、协调能力，及较强的保密意识;4、具有良好的适应能力，能在压力下工作。工作时间：8小时制，月休4天工作地点：亚龙湾博后村无云谷设计民宿酒店待遇福利：转正3200+旅游提成，努力一点月上6000没压力，优秀者公司优待奖励，有晋升渠道
新风街…|美甲、美睫师五险一金包住,广州市茉善化妆品有限公司,三亚,5000-8000元/月,美容/美发,"五险一金,包住,话补,交通补助,饭补",不限,不限,招6人,岗位职责：1、配合其它美甲师、美睫师服务好顾客；2、服务完顾客后收费并认真记录顾客档案及填写顾客消费单请顾客签字确认；3、与店内其它员工积极配合，共同努力完成业绩目标。任职资格：1、一年以上美甲、纹绣工作经验，或从事过美甲或美容行业工作者优先；2、了解大品牌操作流程及产品特点；3、身体健康，能吃苦耐劳，有责任心，服务意识强，热爱美甲事业，形象气质佳。4、性格乐观开朗、服务意识和团队协作能力强，良好的沟通表达能力。福利待遇：1.薪资：5000-80002.月例休假、法定假日、年假3.五险一金4.住宿补贴、通讯补贴、交通补贴、全勤奖、饭补5.年度旅游6.年度体检7.业绩提成
商品街|招生主任,三亚剑桥国际外语培训中心,三亚,面议,教育培训,"五险一金,包吃,包住,话补",不限,不限,招1人,岗位职责：1、咨询电话的接听，做好相应的信息记录；2、定期对记录的咨询信息进行回访，告知咨询者较近的培训动态；3、对来访咨询者接待：全面、准确、有针对性的做好咨询工作，帮助咨询者了解其想了解的信息为起选择培训课程做参考；4、根据公司的有关政策、规定给拟培训学员办理报名手续，指导报名表的填写、报名资料的准备与整理；5、组织已报名学员的上课；6、完成其他临时性工作。任职资格：1、年龄22到30岁，专科以上学历；2、普通话标准，有亲和力、幽默感，沟通能力强；3、有团队合作精神和敬业精神，执行力好，抗压能力强，富有责任心。工作时间：
金鸡岭|文案策划,三亚星情茶坊,三亚,4000-8000元/月,编辑/出版/印刷,"包吃,包住",不限,6-7年,招2人,策划和推广职责要求：1、负责自媒体平台的日常运营及维护工作；2、熟悉各媒体平台调性，策划并独立完成相关运营，输出符合平台调性的优质内容；3、通过内容产出提高现有平台的拉新及粉丝活跃度，完成实时的粉丝互动，提高客户粘性；4、分析潜在客户群体，培养用户习惯，收集用户需求及反馈，分析用户行为，筛选需求输出可行性报告；5、结合时尚热点完成活动策划，配合公司发展，通过趣味形式扩大品牌影响力完成对外发声；任职要求：1、热爱新媒体运营工作，具有较强的平台运营管理、创意策划、信息采编整合及编排能力；2、扎实的文字功底及独到有趣的个人风格：短标题、长文案、小段子、访谈、非虚构写作······信手拈来；3、熟悉新媒体、新玩法和互联网新工具；4、有审美，有网感，有创造力，对热门话题和新鲜事物有较高的敏感度；5、能熟练运用网络语言，具有良好沟通能力、社交能力及洞察能力。
大东海|德佑集团招聘房地产经纪人,海南世华房地产顾问有限公司,三亚,面议,房产中介,"交通补助,话补",不限,不限,招50人,"工作内容：1、负责公司产品的销售及推广；2、根据市场营销计划，完成部门销售指标；3、开拓新市场,发展新客户,增加产品销售范围；4、负责辖区市场信息的收集及竞争对手的分析；5、负责销售区域内销售活动的策划和执行，完成销售任务；6、管理维护客户关系以及客户间的长期战略合作计划。任职资格：1、大专及以上学历，市场营销等相关专业；2、1-2年以上销售行业工作经验，业绩突出者优先；3、反应敏捷、表达能力强，具有较强的沟通能力及交际技巧，具有亲和力；4、具备一定的市场分析及判断能力，良好的客户服务意识；5、有责任心，能承受较大的工作压力；工作时间：早班8:00-12:00,13:00-18:30.晚班8：00-12:00，15:30-21:00"
